province,count
Alaska,3
Alabama,5
Arkansas,40
American Samoa,0
Arizona,288
California,1386
Colorado,138
Connecticut,2
District of Columbia,0
Delaware,19
Florida,601
Georgia,214
Guam,0
Hawaii,2
Iowa,53
Idaho,6
Illinois,381
Indiana,219
Kansas,38
Kentucky,77
Louisiana,25
Massachusetts,0
Maryland,118
Maine,0
Michigan,366
Minnesota,96
Missouri,95
Mississippi,8
Montana,2
North Carolina,256
North Dakota,3
Nebraska,25
New Hampshire,0
New Jersey,4
New Mexico,46
Nevada,149
New York,2640
Ohio,324
Oklahoma,27
Oregon,122
Pennsylvania,814
Puerto Rico,0
Rhode Island,0
South Carolina,81
South Dakota,3
Tennessee,66
Texas,485
Utah,107
Virginia,237
Virgin Islands,0
Vermont,0
Washington,262
Wisconsin,140
West Virginia,27
Wyoming,0
